[完成] 0导航与索引/对接人与售后入口速查.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.1 商机与售前/1.1.4测试授权申请操作指引（临时许可）/（7）开票星空旗舰版申请试用流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.1 商机与售前/1.1.4测试授权申请操作指引（临时许可）/（8）收票星空旗舰版申请试用流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.2 合同管理/1.2.1第三方询价合同流程说明.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.2 合同管理/1.2.2KBC签订合同变更流程.md | 状态：⚠️部分可写 | 原始材料：本地记忆库 + KBC操作知识
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.2 合同管理/READEME.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.3 订单管理/1.3.0订单分类说明.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.3 订单管理/1.3.1标准订单/01KBC上架产品-直分销下单流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.3 订单管理/1.3.1标准订单/02KBC未上架产品订单-第三方询价订单流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.3 订单管理/1.3.1标准订单/03KBC订单信息变更操作指引.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.3 订单管理/1.3.1标准订单/04订单到期管理.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.3 订单管理/1.3.1标准订单/05订单退货不退款流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.3 订单管理/1.3.2特批订单/产品新购场景下特批/产品新购场景下特批.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.3 订单管理/1.3.2特批订单/产品新购场景下特批/提前开通申请流程-旗舰版产品.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.3 订单管理/1.3.2特批订单/产品新购场景下特批/提前开通申请流程-标准版产品.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.3 订单管理/1.3.2特批订单/产品续费延期特批/产品延期特批申请流程-旗舰版产品.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.3 订单管理/1.3.2特批订单/产品续费延期特批/产品延期特批申请流程-标准版产品.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.3 订单管理/1.3.2特批订单/特批订单转正统计.md | 状态：⚠️部分可写 | 原始材料：本地记忆库 + KBC操作知识
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.4 产品交付(正式环境)/产品交付（正式环境）.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.4 产品交付(正式环境)/公有云产品交付链路说明/开票收票标准版产品授权激活流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.4 产品交付(正式环境)/公有云产品交付链路说明/影像标准版授权激活流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.4 产品交付(正式环境)/公有云产品交付链路说明/旗舰版产品许可分配流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.4 产品交付(正式环境)/公有云产品交付链路说明/星空旗舰版许可分配流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.4 产品交付(正式环境)/私有云产品交付链路说明/旗舰版产品许可分配流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.4 产品交付(正式环境)/私有云产品交付链路说明/星空旗舰版许可分配流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.4 产品交付(正式环境)/私有云产品交付链路说明/标准版产品许可分配流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.5 回款结算/1.5.1订单结算方式分类说明.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.5 回款结算/1.5.2付款结算流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.5 回款结算/1.5.3后付款结算流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.5 回款结算/1.5.4回款异常处理/回款认领错误.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.5 回款结算/1.5.4回款异常处理/回款逾期未到处理流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.5 回款结算/1.5.4回款异常处理/回款金额不符处理流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/1.5 回款结算/1.5.4回款异常处理/退款与红冲.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/01金蝶中国渠道/（1）开票标准版申请试用流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.1商机与售前/2.1.1产品及解决方案咨询.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.1商机与售前/2.1.2售前顾问预约操作指引.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.1商机与售前/2.1.3产品报价获取.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.1商机与售前/2.1.4测试授权申请操作指引/（0）自营渠道测试授权申请说明.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.1商机与售前/2.1.4测试授权申请操作指引/（1）开票标准版申请试用流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.1商机与售前/2.1.4测试授权申请操作指引/（2）收票标准版申请试用流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.1商机与售前/2.1.4测试授权申请操作指引/（3）影像标准版申请试用流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.1商机与售前/2.1.4测试授权申请操作指引/（4）开票旗舰版申请试用流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.1商机与售前/2.1.4测试授权申请操作指引/（5）收票旗舰版申请试用流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.1商机与售前/2.1.4测试授权申请操作指引/（7）收票星空旗舰版申请试用流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.2合同管理/2.2.0合同类型说明（README）.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.2合同管理/2.2.1标准合同流程/（1）合同签署方式说明.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.2合同管理/2.2.1标准合同流程/（2）合同创建流程-新购、续费、加购.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.2合同管理/2.2.1标准合同流程/（3）合同审批流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.2合同管理/2.2.1标准合同流程/（4）合同变更申请指引.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.2合同管理/2.2.1标准合同流程/（5）合同到期管理.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.2合同管理/2.2.1标准合同流程/（6）合同异常处理.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.2合同管理/2.2.2非标合同流程/01第三方询价合同.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.3订单管理/2.3.1标准订单/（1）标准订单创建来源说明.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.3订单管理/2.3.1标准订单/（2）标准订单出库说明.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.3订单管理/2.3.1标准订单/（3）订单到期管理.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.3订单管理/2.3.1标准订单/（4）订单异常处理流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.3订单管理/2.3.1标准订单/（5）产品退货操作指引.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.3订单管理/2.3.2特批订单/产品新购场景下特批/提前开通申请流程-旗舰版产品.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.3订单管理/2.3.2特批订单/产品新购场景下特批/提前开通申请流程-标准版产品.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.3订单管理/2.3.2特批订单/产品续费延期特批/产品延期特批申请流程-旗舰版产品.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.3订单管理/2.3.2特批订单/产品续费延期特批/产品延期特批申请流程-标准版产品.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.3订单管理/2.3.2特批订单/特批订单转正统计.md | 状态：⚠️部分可写 | 原始材料：本地记忆库 + KBC操作知识
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.4产品交付/产品交付（正式环境）.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.4产品交付/公有云产品交付链路说明/开票收票标准版产品授权激活流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.4产品交付/公有云产品交付链路说明/影像标准版授权激活流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.4产品交付/公有云产品交付链路说明/旗舰版产品许可分配流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.4产品交付/公有云产品交付链路说明/星空旗舰版许可分配流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.4产品交付/私有云产品交付链路说明/旗舰版产品许可分配流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.4产品交付/私有云产品交付链路说明/星空旗舰版许可分配流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.4产品交付/私有云产品交付链路说明/标准版产品许可分配流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.5回款结算/2.5.1订单结算方式分类说明.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.5回款结算/2.5.2付款结算流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.5回款结算/2.5.3后付款结算流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.5回款结算/2.5.4回款异常处理/回款认领错误.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.5回款结算/2.5.4回款异常处理/回款逾期未到处理流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.5回款结算/2.5.4回款异常处理/回款金额不符处理流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/02发票云自营渠道/2.5回款结算/2.5.4回款异常处理/退款与红冲.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 1商机到回款（LTC）/LTC流程总览说明.md.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 2生态伙伴管理（MTR）/01发票云生态伙伴/1.1伙伴加盟-准入与签约操作.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 2生态伙伴管理（MTR）/01发票云生态伙伴/1.2伙伴支持-产品知识及售前支持获取.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 2生态伙伴管理（MTR）/01发票云生态伙伴/1.3伙伴支持-伙伴激励制度说明.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 2生态伙伴管理（MTR）/01发票云生态伙伴/1.4伙伴支持-伙伴升降级申请说明.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 2生态伙伴管理（MTR）/01发票云生态伙伴/1.5伙伴支持-伙伴信息变更操作指引.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 2生态伙伴管理（MTR）/01发票云生态伙伴/1.6伙伴订货-产品折扣下单流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 2生态伙伴管理（MTR）/01发票云生态伙伴/1.7伙伴订货-退货退款处理流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 2生态伙伴管理（MTR）/01发票云生态伙伴/1.8伙伴退出-保证金退回说明.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 2生态伙伴管理（MTR）/01发票云生态伙伴/1.9伙伴退出-伙伴退盟申请流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 2生态伙伴管理（MTR）/01发票云生态伙伴/伙伴激励审核流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 2生态伙伴管理（MTR）/02金蝶中国生态伙伴/1.1伙伴订货-KBC分销下单操作指引.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 2生态伙伴管理（MTR）/02金蝶中国生态伙伴/1.2伙伴订货-KBC直销下单操作指引.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 2生态伙伴管理（MTR）/02金蝶中国生态伙伴/1.3伙伴支持-产品知识及售前支持获取.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 3客户信息管理(MCR)/租户信息变更处理/企业变更租户及合并租户.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 3客户信息管理(MCR)/租户信息变更处理/售后入口查询.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 3客户信息管理(MCR)/租户信息变更处理/开票产品使用企业税号及税盘变更操作.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 3客户信息管理(MCR)/租户信息变更处理/收票产品使用企业信息变更流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 3客户信息管理(MCR)/租户信息变更处理/租户注销、停用处理流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 3客户信息管理(MCR)/租户权益查询/1、租户查询平台进入流程.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
[完成] 3客户信息管理(MCR)/租户权益查询/2、租户权益查看操作指引.md | 状态：✅可写 | 原始材料：运营管理（飞书）/ 知识与运营部（飞书）/ 本地记忆库
